,flushes,l0compactions,other_compactions,read,write,qps
259,1.0,0.0,1.0,300.4,473.92999999999995,386648.0
260,0.0,0.0,1.0,300.4,295.28,354188.0
261,1.0,0.0,2.0,597.8599999999999,853.9399999999999,385693.0
262,1.0,0.0,1.0,297.46,558.66,376592.0
263,0.0,1.0,1.0,521.89,514.5699999999999,348228.0
264,1.0,1.0,0.0,224.43,484.46,406092.0
265,0.0,1.0,0.0,224.43,221.93,359586.0
266,1.0,1.0,0.0,224.43,512.12,374147.0
267,1.0,1.0,7.0,920.6700000000001,1173.79,276484.0
268,0.0,1.0,7.0,920.6700000000001,883.6,317628.0
269,0.0,1.0,7.0,920.6700000000001,883.6,180735.0
270,1.0,0.0,7.0,696.24,760.7199999999999,366113.0
271,1.0,0.0,5.0,481.18,593.61,362253.0
272,0.0,0.0,3.0,489.32,507.13,361558.0
273,1.0,0.0,2.0,565.04,756.27,359874.0
274,0.0,0.0,2.0,578.76,574.49,360354.0
275,1.0,0.0,2.0,598.1400000000001,837.8700000000001,384994.0
276,1.0,0.0,1.0,292.48,534.29,382084.0
277,0.0,1.0,1.0,550.63,542.08,352032.0
278,1.0,1.0,0.0,258.15,410.97,409183.0
279,1.0,1.0,0.0,258.15,410.97,367089.0
280,0.0,1.0,0.0,258.15,255.66,374384.0
281,1.0,1.0,1.0,560.3399999999999,799.41,392487.0
282,0.0,0.0,1.0,302.19,297.36,351688.0
283,1.0,0.0,2.0,563.52,767.5799999999999,394923.0
284,1.0,0.0,1.0,261.33,470.21999999999997,363476.0
285,0.0,0.0,2.0,546.8299999999999,539.3299999999999,349685.0
286,1.0,0.0,1.0,285.5,529.03,412567.0
287,0.0,0.0,2.0,547.04,537.37,363146.0
288,1.0,0.0,1.0,261.54,433.64,383958.0
289,1.0,1.0,1.0,526.24,695.78,385032.0
290,0.0,1.0,0.0,264.7,262.14,353060.0
291,1.0,1.0,0.0,264.7,459.67999999999995,350268.0
292,1.0,1.0,0.0,264.7,459.67999999999995,373275.0
293,0.0,1.0,0.0,264.7,262.14,349828.0
294,1.0,1.0,1.0,521.37,704.63,352238.0
295,0.0,0.0,1.0,256.67,252.34,366542.0
296,0.0,0.0,2.0,534.04,527.15,374360.0
297,1.0,0.0,1.0,277.37,458.65999999999997,374191.0
298,0.0,0.0,2.0,570.36,563.6600000000001,360506.0
299,1.0,0.0,1.0,292.99,503.02,400092.0
300,1.0,0.0,2.0,604.53,807.72,370493.0
301,0.0,0.0,2.0,603.94,591.79,348694.0
302,1.0,0.0,1.0,292.4,547.22,413707.0
303,0.0,0.0,1.0,292.4,287.09,361693.0
304,1.0,1.0,1.0,560.03,729.51,382179.0
305,1.0,1.0,0.0,267.63,442.41999999999996,382981.0
306,0.0,1.0,0.0,267.63,265.08,355323.0
307,1.0,1.0,0.0,267.63,484.34,397090.0
308,1.0,1.0,1.0,545.01,757.3,364405.0
309,0.0,0.0,1.0,277.38,272.96,369628.0
310,1.0,0.0,2.0,548.64,720.22,399643.0
311,0.0,0.0,1.0,271.26,265.51,360613.0
312,1.0,0.0,1.0,271.26,428.78,398167.0
313,1.0,0.0,2.0,565.3399999999999,718.05,382264.0
314,0.0,0.0,1.0,294.08,289.27,348472.0
315,1.0,0.0,2.0,571.0899999999999,749.26,412209.0
316,0.0,0.0,1.0,277.01,273.85,360654.0
317,1.0,0.0,1.0,277.01,464.81000000000006,383851.0
318,1.0,1.0,1.0,555.54,740.27,382438.0
319,0.0,1.0,0.0,278.53,275.46,352230.0
320,1.0,1.0,0.0,278.53,524.86,406088.0
321,0.0,1.0,0.0,278.53,275.46,369593.0
322,0.0,1.0,0.0,278.53,275.46,373547.0
323,1.0,1.0,1.0,538.54,690.8799999999999,394675.0
324,0.0,0.0,1.0,260.01,255.82,358438.0
325,1.0,0.0,2.0,549.5899999999999,804.6,397965.0
326,1.0,0.0,1.0,289.58,548.78,373884.0
327,0.0,0.0,2.0,555.44,548.01,352183.0
328,1.0,0.0,1.0,265.86,418.2,410245.0
329,1.0,0.0,1.0,265.86,418.2,364797.0
330,1.0,0.0,2.0,557.09,759.6199999999999,387090.0
331,1.0,0.0,1.0,291.23,496.99,404584.0
332,0.0,0.0,1.0,291.23,286.7,350071.0
333,1.0,0.0,2.0,591.63,781.88,401935.0
334,1.0,0.0,1.0,300.4,495.18,365511.0
335,0.0,0.0,1.0,300.4,295.73,373852.0
336,1.0,1.0,1.0,1378.6399999999999,623.96,390193.0
337,0.0,1.0,0.0,1078.24,142.75,355783.0
338,1.0,1.0,0.0,1078.24,424.97,329192.0
339,1.0,1.0,7.0,1682.18,1128.03,136445.0
340,0.0,1.0,8.0,1773.52,917.1200000000001,361600.0
341,0.0,0.0,10.0,858.3599999999999,987.5500000000002,287265.0
342,1.0,0.0,8.0,622.0999999999999,877.5100000000002,285968.0
343,1.0,0.0,8.0,622.0999999999999,877.5100000000002,211122.0
344,0.0,0.0,6.0,469.6500000000001,514.88,333871.0
345,1.0,0.0,3.0,452.09000000000003,685.9300000000001,391495.0
346,1.0,0.0,2.0,595.16,776.3199999999999,369868.0
347,0.0,0.0,2.0,607.31,597.22,348065.0
348,1.0,0.0,1.0,301.16,539.66,402235.0
349,1.0,0.0,2.0,598.9200000000001,832.53,363347.0
350,0.0,0.0,1.0,297.76,292.87,378852.0
351,1.0,0.0,1.0,309.55,572.26,386126.0
352,0.0,0.0,1.0,309.55,302.88,354970.0
353,1.0,1.0,1.0,1041.07,564.09,400444.0
354,1.0,1.0,0.0,731.52,261.21000000000004,369761.0
355,0.0,1.0,0.0,731.52,73.78,364573.0
356,1.0,1.0,0.0,731.52,267.95,269539.0
357,1.0,1.0,7.0,1377.8799999999999,1036.87,66854.0
358,0.0,1.0,8.0,1449.1799999999998,945.0,200000.0
359,0.0,0.0,7.0,676.17,660.67,322939.0
360,0.0,0.0,7.0,676.17,660.67,398814.0
361,1.0,0.0,1.0,259.94,441.98,368447.0
